id,year,type,weight_lbs
3686,2021,3,25482.1
3687,2021,5,25507.0
3688,2021,3,25531.9
3689,2021,3,25556.9
3690,2021,3,25581.8
3691,2021,5,25606.7
3692,2021,3,25631.7
3693,2021,3,25656.6
3694,2021,3,25681.5
3695,2021,5,25706.5
3696,2021,4,25731.4
3697,2021,5,25756.3
3698,2021,3,25781.3
3699,2021,3,25806.2
3700,2021,3,25831.1
3701,2021,5,25856.0
3702,2021,5,25881.0
3703,2021,2,25905.9
3704,2021,2,25930.8
3705,2021,5,25955.8
3706,2021,3,25980.7
3707,2021,3,26005.6
3708,2021,3,26030.6
3709,2021,3,26055.5
3710,2021,3,26080.4
3711,2021,4,26105.4
3712,2021,3,26130.3
3713,2021,3,26155.2
3714,2021,3,26180.2
3715,2021,5,26205.1
3716,2021,3,26230.0
3717,2021,3,26255.0
3718,2021,2,26279.9
3719,2021,5,26304.8
3720,2021,3,26329.7
3721,2021,5,26354.7
3722,2021,3,26379.6
3723,2021,3,26404.5
3724,2021,3,26429.5
3725,2021,3,26454.4
3726,2021,3,26479.3
3727,2021,4,26504.3
3728,2021,5,26529.2
3729,2021,3,26554.1
3730,2021,5,26579.1
3731,2021,4,26604.0
3732,2021,4,26628.9
3733,2021,3,26653.9
3734,2021,4,26678.8
3735,2021,4,26703.7
3736,2021,5,26728.7
3737,2021,3,26753.6
3738,2021,3,26778.5
3739,2021,5,26803.4
3740,2021,5,26828.4
3741,2021,3,26853.3
3742,2021,5,26878.2
3743,2021,3,26903.2
3744,2021,5,26928.1
3745,2021,4,26953.0
3746,2021,3,26978.0
3747,2021,4,27002.9
3748,2021,4,27027.8
3749,2021,3,27052.8
3750,2021,3,27077.7
3751,2021,4,27102.6
3752,2021,3,27127.6
3753,2021,3,27152.5
3754,2021,5,27177.4
3755,2021,3,27202.4
3756,2021,3,27227.3
3757,2021,5,27252.2
3758,2021,3,27277.1
3759,2021,3,27302.1
3760,2021,3,27327.0
3761,2021,5,27351.9
3762,2021,3,27376.9
3763,2021,3,27401.8
3764,2021,3,27426.7
3765,2021,3,27451.7
3766,2021,3,27476.6
3767,2021,5,27501.5
3768,2021,3,27526.5
3769,2021,3,27551.4
3770,2021,5,27576.3
3771,2021,5,27601.3
3772,2021,3,27626.2
3773,2021,3,27651.1
3774,2021,3,27676.1
3775,2021,3,27701.0
3776,2021,4,27725.9
3777,2021,3,27750.8
3778,2021,5,27775.8
3779,2021,3,27800.7
3780,2021,3,27825.6
3781,2021,3,27850.6
3782,2021,3,27875.5
3783,2021,5,27900.4
3784,2021,5,27925.4
3785,2021,4,27950.3
3786,2021,3,27975.2
3787,2021,3,28000.2
3788,2021,3,28025.1
3789,2021,3,28050.0
3790,2021,3,28075.0
3791,2021,3,28099.9
3792,2021,3,28124.8
3793,2021,3,28149.8
3794,2021,5,28174.7
3795,2021,3,28199.6
3796,2021,3,28224.5
3797,2021,3,28249.5
3798,2021,4,28274.4
3799,2021,3,28299.3
3800,2021,3,28324.3
3801,2021,3,28349.2
3802,2021,4,28374.1
3803,2021,3,28399.1
3804,2021,3,28424.0
3805,2021,3,28448.9
3806,2021,3,28473.9
3807,2021,4,28498.8
3808,2021,3,28523.7
3809,2021,3,28548.7
3810,2021,4,28573.6
3811,2021,4,28598.5
3812,2021,3,28623.5
3813,2021,3,28648.4
3814,2021,4,28673.3
3815,2021,4,28698.2
3816,2021,3,28723.2
3817,2021,4,28748.1
3818,2021,2,28773.0
3819,2021,4,28798.0
